Names,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,PrgR,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,TotDist,PrgDist,Cmp%S,Cmp%M,Cmp%L,xA,A-xAG,KP,F3rdPPA,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,BlockedPass,SCA,SCA90,PassLiveSCA,PassDeadSCA,TO,ShToS,Fld,Def,GCA,GCA90,PassLive,PassDead,TOSCA,ShSCA,FldSCA,DefSCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDef,Att,Tkl%,Lost,Blocks,ShBlocked,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rdT,Mid 3rdT,Att 3rdT,Att Pen,LiveT,AttTO,Succ%,Tkld,Tkld%,Carries,TotDistC,PrgDistC,PrgC,F3Carry,CPA,Mis,Dis,Rec,CrdY,CrdR,2CrdY,Fls,PKwon,PKcon,OG,Recov,ADWon,ADLost,Playstyles
Pierre Hojberg,1,0.0581,0.083,0.1411,0.0581,0,0,0.0498,0.0498,0.049,0.0988,1.3284,0.9423,0.3611,30.4,0.05,0.16,0.0959,0.06,0,0,791.0087,220.3487,90.6,88.1,69.4,0.0544,0.034,0.5895,4.7655,0.6144,0.0996,5.247,52.1544,2.0714,1.5401,0.1577,0.6476,0.5521,0.3113,0.0249,0.0083,0,0,46.538,0.1328,0.5521,1.8472,0.0095,1.5359,0.0374,0.0789,0.0623,0.0706,0.0623,0.2117,0.0011,0.1826,0.0042,0.0083,0.0042,0.0125,0,1.814,1.1955,0.7721,0.8551,0.1868,0.8178,2.1337,38.3,1.3159,1.2329,0.2532,0.9797,1.3491,3.0345,1.2744,0.0249,62.9099,2.2873,13.4454,40.1577,10.0457,0.7555,62.9099,1.1,69.1,0.3279,29.8,35.7576,170.7763,79.6056,0.9672,0.9921,0.166,1.1125,0.7306,43.2171,0.2034,0.0083,0.0042,1.4446,0,0.0083,0,6.8078,0.934,0.6891,Disruptor
Rasmus Hojlund,1,0.3482,0.0967,0.4449,0.3288,0.0193,0.0193,0.2321,0.2321,0.058,0.2901,5.3385,2.3404,1.0638,45.5,0.14,0.31,0.2476,0.17,-3,-3,100.2321,15.648,77.9,76.4,89.5,0.0406,0.0387,0.677,0.5029,0.2901,0.0387,0.9284,10.2901,0.7157,0.0193,0.0387,0.0387,0.4836,0.0387,0,0,0,0,8.1431,0.0774,0.4836,1.5474,0.053,1.0251,0,0.1934,0.1547,0.1547,0.0193,0.0967,0.0033,0.058,0,0,0,0.0387,0,0.1547,0.1741,0,0.058,0.0967,0.0774,0.2321,33.3,0.1547,0.1741,0.0193,0.1547,0.058,0.1741,0.2708,0,17.7369,0.3095,0.677,6.383,10.8897,3.3269,17.7369,1.7408,41.1,0.7157,41.1,11.1605,61.3733,22.3791,0.9671,0.619,0.6963,2.2437,1.354,13.8298,0.1547,0,0,1.0638,0.0387,0.0193,0,1.5667,0.7544,1.4894,Complete Forward
Igor,1,0,0.0076,0.0076,0,0,0,0.0122,0.0122,0.019,0.0312,0.3808,0.2285,0.0305,13.3,0,0,0.1135,0.07,-1.6,-1.6,711.211,231.1805,92.7,94,71.4,0.0206,-0.0114,0.1599,2.5133,0.0914,0.0152,2.9018,38.7053,2.3762,1.3709,0.0305,0.358,0.198,0.952,0.0152,0,0,0,36.6717,0.0533,0.3503,0.655,0.0074,0.5636,0.0152,0.0305,0.0152,0.0076,0.0228,0.0381,0.0005,0.0381,0,0,0,0,0,1.1881,1.2034,0.655,0.4494,0.0838,0.6093,0.8454,72.1,0.2361,0.9216,0.4417,0.4798,1.5385,2.0716,1.5385,0.0533,47.0373,3.6329,20.2894,24.7601,2.3991,0.3427,47.0373,0.4874,84.4,0.0609,12.5,29.1927,160.4874,97.3039,0.9444,0.4494,0.0305,0.4417,0.2818,31.7593,0.2818,0.0152,0.0152,1.3785,0,0.0228,0,4.166,0.9825,0.7921,Aggressor
Danny Ings,1,0.4283,0.1277,0.556,0.3789,0.0494,0.0577,0.2092,0.1771,0.049,0.2257,2.8418,1.2191,1.1285,39.2,0.16,0.34,0.0593,0.15,6.2,5,86.7298,22.6359,74.2,67.3,41.4,0.0346,0.0787,0.486,0.5643,0.3336,0.0288,1.0544,9.6417,0.2224,0.0124,0.0783,0.0783,0.3418,0.0124,0,0,0,0,6.388,0.0824,0.4325,1.182,0.0101,0.8196,0,0.1524,0.1194,0.0577,0.0329,0.1812,0.0016,0.0988,0,0.0371,0.0165,0.0165,0.0124,0.5807,0.346,0.1153,0.3295,0.1359,0.2265,0.7455,30.4,0.5189,0.7743,0.0577,0.7166,0.1194,0.7002,0.4489,0.0082,15.8072,0.4819,1.5115,6.6516,7.8336,2.4217,15.7661,1.0873,47.3,0.5684,52.3,8.715,41.5198,16.3386,0.6549,0.4077,0.2842,1.182,0.626,10.6013,0.1194,0,0,0.9473,0.0206,0.0041,0,1.5321,0.5931,1.3797,Complete Forward
Alexander Isak,1,0.5685,0.1012,0.6698,0.4984,0.0701,0.0857,0.4852,0.4174,0.1145,0.5319,5.3972,2.5389,1.4097,55.5,0.2,0.35,0.1129,0.17,0.7,0.4,166.8925,31.6511,79.7,78.2,67.8,0.0989,-0.0132,0.7321,0.8178,0.6153,0.0156,1.7368,14.5483,1.7445,0.0389,0.1869,0.0545,0.4439,0.1012,0.0234,0,0,0,11.9315,0.0779,0.7477,2.1417,0.0193,1.2383,0.0156,0.366,0.2882,0.1947,0.0389,0.2336,0.0021,0.1168,0,0.0467,0.0389,0.0234,0.0078,0.4283,0.2181,0.0389,0.1791,0.2103,0.1558,0.553,28.2,0.3972,0.5685,0.0389,0.5296,0.1324,0.5607,0.3271,0,25.9112,0.4128,1.2305,10.4361,14.8053,4.8754,25.8255,2.7726,50.8,1.2617,45.5,16.2383,112.6402,54.1433,2.0639,1.5031,1.1215,2.2508,1.324,19.3224,0.1558,0,0,1.1215,0.0312,0.0078,0,1.7523,1.1526,1.8458,Complete Forward
Alex Iwobi,1,0.1172,0.17,0.2872,0.1172,0,0,0.109,0.109,0.1401,0.2491,5.1817,1.4713,0.5744,36.3,0.07,0.2,0.1061,0.09,-3.6,-3.6,453.2943,135.9613,87.5,80,56.7,0.1313,0.0299,1.3599,2.6905,1.524,0.2872,4.6776,35.3576,1.2251,0.0645,0.2931,0.3165,2.1864,0.8148,0.1583,0.1055,0.0293,0,28.4701,0.1817,1.0844,2.9191,0.0198,2.4502,0.0879,0.1524,0.1758,0.041,0.0117,0.3107,0.0021,0.2755,0,0.0059,0.0234,0.0059,0,1.2954,0.7796,0.5979,0.5744,0.1231,0.5627,1.3482,41.7,0.7855,0.9613,0.0586,0.9027,0.6565,1.905,0.6038,0.0293,46.0434,0.9965,7.2274,20.0293,19.6366,2.5088,46.0434,2.6612,57.9,1.0903,41,30.4162,192.6846,103.2825,3.0832,2.4443,0.8617,1.8992,1.2544,33.4584,0.041,0,0,0.5334,0.0059,0.0059,0,4.9297,0.2286,0.6331,Wide Winger
Nicolas Jackson,1,0.4774,0.1508,0.6281,0.4774,0,0,0.4874,0.4874,0.1231,0.6106,6.5578,2.4874,1.1307,45.5,0.19,0.42,0.3342,0.2,-0.4,-0.4,192.6131,41.8593,82,77.5,71.4,0.103,0.0276,1.005,1.407,0.5779,0,2.0352,18.8442,1.5075,0,0.0754,0.0503,0.2513,0.0503,0,0,0,0,15.5025,0.0503,0.7789,2.7889,0.0701,1.8342,0.0503,0.5276,0.1759,0.1759,0.0251,0.5528,0.0138,0.2261,0,0.2261,0.0503,0.0503,0,0.8543,0.603,0.1759,0.5025,0.1759,0.1005,0.603,16.7,0.5025,0.8291,0.1256,0.7035,0.1759,1.0302,0.3266,0,32.2864,0.6533,2.1859,13.6683,17.3116,5.3769,32.2864,2.8894,60,0.9548,33,21.1307,159.0704,76.1055,2.8141,1.6834,1.0302,3.3417,2.2613,24.1457,0.3769,0.0251,0.0251,1.608,0.0251,0,0,2.9146,1.1809,1.8342,Complete Forward
Reece James,1,0.0793,0.1348,0.2141,0.0714,0.0079,0.0079,0.0769,0.0706,0.2022,0.2728,6.2252,1.2371,0.341,27.6,0.06,0.21,0.1816,0.06,0.3,0.1,904.6154,261.1578,91.4,81.7,51.6,0.1753,-0.0674,1.7209,3.4496,1.4988,0.6741,5.115,57.3037,11.5067,1.7684,0.0634,0.6344,5.8763,8.4695,1.2609,0.6106,0.4758,0.0238,55.0912,0.2458,1.3957,3.41,0.027,2.3711,0.5313,0.1427,0.1824,0.1586,0.0238,0.2696,0.0021,0.1983,0.0317,0.0159,0.0079,0.0159,0,2.0777,1.3006,0.9913,0.8961,0.1903,0.8247,1.4671,56.2,0.6423,1.1182,0.3013,0.8168,0.8882,2.9659,1.9826,0.0079,79.2546,2.8232,17.8271,36.2966,25.9477,1.5543,79.2466,2.0222,69.8,0.5393,26.7,43.3228,213.3545,106.4393,2.498,1.8239,0.4917,1.0151,0.9754,49.9445,0.1507,0.0159,0.0079,1.0626,0.0079,0.0317,0.0079,5.9952,1.6257,1.4592,Offensive Wing Back
Vitaly Janelt,1,0.0875,0.0656,0.1531,0.0875,0,0,0.0656,0.0656,0.0853,0.1509,1.6764,0.6997,0.2259,32.3,0.13,0.39,0.1319,0.09,3,3,556.1953,155.379,85,84.3,58.2,0.0743,-0.0197,0.7872,2.8207,0.5394,0.1239,3.3892,38.1414,2.121,0.9329,0.0729,0.3717,1.0131,0.6997,0.3134,0.2259,0.0729,0,31.7128,0.1312,0.605,1.8805,0.0144,1.4796,0.102,0.0364,0.1312,0.0729,0.0583,0.1458,0.0011,0.1093,0.0146,0,0.0073,0.0146,0,2.1574,1.2318,0.9548,0.9548,0.2478,0.9694,1.9023,51,0.9329,1.1006,0.3426,0.758,1.3192,3.4767,1.3411,0.0219,49.4898,2.4271,13.9723,26.691,9.191,1.3192,49.4898,0.5904,67.9,0.1822,30.9,24.4461,106.9315,48.4548,0.656,0.7216,0.0583,0.9329,0.481,29.016,0.1822,0,0,1.2318,0.0146,0.0146,0,5.3499,1.5743,1.2464,Disruptor
Mathias Jensen,1,0.1467,0.2032,0.3499,0.1354,0.0113,0.0113,0.0643,0.0643,0.1304,0.1947,2.0147,0.6885,0.4233,59.8,0.19,0.32,0.1287,0.09,-0.4,-0.4,514.0914,177.974,86.1,77.9,53.6,0.1315,0.0728,1.2867,3.0474,1.0892,0.2935,4.0971,29.3002,6.1851,1.8454,0.1129,0.7731,3.4029,1.5124,2.1614,0.9199,0.5756,0.1749,25.8747,0.1524,0.5869,2.658,0.0214,1.5576,0.8916,0.0564,0.0734,0.0395,0.0395,0.2991,0.0024,0.1524,0.0959,0.0056,0.0226,0.0113,0.0113,1.2077,0.6095,0.57,0.4966,0.1411,0.6208,2.0034,31,1.3826,0.9142,0.0959,0.8183,0.807,2.0147,0.5248,0.0113,42.1896,0.9424,7.6693,21.7551,13.2619,0.8352,42.1896,1.14,54.5,0.4515,39.6,21.3149,97.8217,45.1693,0.807,0.7957,0.1016,1.1569,0.7054,25.1919,0.1242,0,0,1.0666,0.0056,0,0,4.1817,0.2822,0.4684,Box to Box
Gabriel Jesus,1,0.4997,0.2585,0.7582,0.4767,0.023,0.0402,0.4549,0.4279,0.1206,0.5485,6.8179,2.9121,1.2694,43.6,0.16,0.36,0.0695,0.18,-15.2,-13.5,240.046,36.4159,86.8,85.1,67.7,0.0873,0.1379,1.0396,0.7122,0.6433,0.046,1.6427,21.9242,1.0913,0.0804,0.1321,0.1034,0.4652,0.1953,0.0287,0,0,0,18.9259,0.0517,0.6376,2.602,0.0206,1.6829,0.0172,0.3561,0.3102,0.1666,0.0689,0.4423,0.0035,0.2814,0.0115,0.0517,0.0517,0.0345,0.0115,0.7639,0.6778,0.2642,0.2125,0.2872,0.2585,0.8616,30,0.6031,0.7467,0.0345,0.7122,0.5342,1.1545,0.2757,0.0057,32.3779,0.3848,2.3665,11.8495,18.5238,5.2958,32.3435,2.4239,58.3,0.8845,36.5,20.7007,106.1689,46.1516,1.6312,0.942,0.9248,2.085,1.3785,24.9799,0.2298,0,0,1.5106,0.0402,0.0057,0,2.5905,0.9707,1.9529,Complete Forward
Raul Jiminez,1,0.4023,0.1574,0.5597,0.3411,0.0612,0.0612,0.2024,0.1788,0.0857,0.2641,3.3931,1.7359,1.1325,38,0.12,0.3,0.0669,0.12,-2.3,-3.9,156.2877,32.1906,80.5,71.1,60.8,0.0603,0.0717,0.6515,0.8526,0.4066,0.0525,1.3205,15.0984,0.6821,0.0568,0.1268,0.2317,0.3717,0.1355,0,0,0,0,11.2637,0.0612,0.6296,1.3642,0.0105,0.9488,0.0087,0.153,0.1443,0.0787,0.0306,0.2055,0.0016,0.1137,0,0.035,0.0437,0.0131,0,0.4504,0.2973,0.1006,0.2492,0.1006,0.1006,0.4854,20.7,0.3848,0.4416,0.0437,0.3979,0.3017,0.7346,0.5728,0.0044,22.746,0.6909,2.1076,11.4867,9.4053,2.6979,22.7153,1.3118,51,0.6384,48.7,12.6366,69.3135,29.0031,1.045,0.6865,0.4897,1.6922,1.0669,17.2409,0.1399,0.0131,0.0087,1.2331,0.0087,0,0.0044,1.7053,1.2986,1.6747,Complete Forward
Joao Pedro,1,0.2957,0.0832,0.3789,0.2495,0.0462,0.0462,0.3161,0.2791,0.1183,0.3974,6.8854,2.597,0.8965,34.5,0.1,0.28,0.1433,0.11,-2.2,-3.2,344.9723,80.037,79.6,75.3,55.1,0.1026,-0.0351,1.1183,2.0333,1.1368,0.1664,3.512,30.0092,2.0055,0.2957,0.268,0.2773,1.4325,0.2773,0.3697,0.1017,0.0832,0,22.9945,0.2311,0.9519,3.0961,0.0286,1.9316,0.1109,0.4251,0.2311,0.3235,0.0739,0.2957,0.0028,0.1479,0.0092,0.037,0.0647,0.037,0,1.3401,0.8226,0.4251,0.61,0.305,0.4251,1.0444,40.7,0.6192,0.8041,0.1017,0.7024,0.6377,1.9778,0.8503,0,47.9945,0.8872,4.5287,22.1719,22.2181,4.7782,47.9482,5.3882,52.1,2.2366,41.5,29.4362,190.8595,80.536,2.7079,1.9963,0.8133,3.5675,2.4307,35.305,0.1571,0.0092,0.0092,1.2384,0.0462,0,0,4.0758,2.3013,2.9575,Inverted Winger
Joelinton,1,0.2143,0.0997,0.3139,0.2043,0.01,0.0149,0.1584,0.1545,0.0837,0.2382,3.438,1.9831,0.7474,37.7,0.1,0.25,0.0787,0.12,-6.8,-7,255.1719,61.4599,84,81.4,71.6,0.0563,0.0159,0.8122,1.3752,0.4933,0.0598,2.1475,23.2436,0.7125,0.1794,0.0498,0.0747,0.3787,0.2342,0.0199,0,0,0,18.8042,0.0947,0.7424,1.988,0.0138,1.435,0.0149,0.2192,0.1545,0.1445,0.0199,0.2143,0.0015,0.1395,0.005,0.0249,0.0299,0.0149,0,1.3453,1.1161,0.5032,0.6677,0.1744,0.4684,1.2357,37.9,0.7673,1.0563,0.1644,0.8919,0.8421,1.988,0.7972,0.01,34.4793,1.3403,5.152,17.7479,12.0379,2.3717,34.4743,2.1973,51.9,0.9567,43.5,18.9337,101.8884,45.1669,1.2905,1.0264,0.4484,2.3418,1.4848,23.1839,0.279,0.0149,0.005,1.8435,0.0249,0.005,0,3.8565,2.4315,3.134,Box to Box
Ryan John Giles,1,0.0254,0.2032,0.2286,0.0254,0,0,0.0398,0.0398,0.2464,0.2862,5.9441,0.6435,0.2371,36.8,0.04,0.11,0.1753,0.08,-2.7,-2.7,467.3582,165.8933,85.8,71.2,36.2,0.2235,-0.0432,1.5919,1.5072,1.4395,1.0669,1.8882,32.5318,8.1541,0.6435,0.0254,0.0931,9.619,5.2329,2.1931,1.3971,0.5334,0.0423,26.9687,0.2879,1.6511,2.5402,0.0248,1.6765,0.6605,0.0847,0.0254,0.0593,0.0339,0.271,0.0026,0.1863,0.0508,0.0254,0,0.0085,0,0.9568,0.7451,0.6435,0.2456,0.0677,0.525,0.8383,62.6,0.3133,0.5843,0.0593,0.525,0.6266,1.5411,1.1008,0,47.5699,1.4903,10.7621,17.3074,20.0169,1.1262,47.5699,1.3124,41.9,0.7113,54.2,25.2837,147.8747,76.0203,2.8959,1.6935,0.4488,1.2701,0.4064,28.6706,0.0339,0,0,0.3218,0,0.0085,0.0085,4.3438,0.2964,0.4234,Wide Winger
Brennan Johnson,1,0.285,0.171,0.456,0.2443,0.0407,0.0651,0.1979,0.1572,0.1116,0.2687,4.145,2.0195,0.8225,40.7,0.12,0.3,0.1344,0.12,0.7,1.7,124.3404,28.7215,76.5,64.3,45,0.079,0.0594,0.8225,0.5049,0.5619,0.1629,1.0912,12.671,0.5212,0.0163,0.0163,0.0489,1.759,0.1954,0.0977,0.0163,0,0,8.6156,0.1221,0.6026,1.7834,0.0208,1.1971,0.0081,0.2117,0.1303,0.1954,0.0407,0.3176,0.0037,0.1954,0,0.0407,0.0244,0.0489,0.0081,0.6922,0.6596,0.2524,0.2687,0.171,0.2524,0.7248,34.8,0.4723,0.6107,0.0163,0.5945,0.3176,0.8795,0.2117,0.0244,20.1221,0.2443,1.9463,7.4593,11.2052,2.956,20.0651,1.7997,44.3,0.8713,48.4,12.272,95.4967,48.9169,2.0684,0.9609,1.0505,1.702,0.5863,13.9577,0.1547,0,0,1.0098,0.0163,0,0,2.1336,0.2687,0.855,Wide Winger
Curtis Jones,1,0.1511,0.1259,0.2771,0.1511,0,0,0.1108,0.1108,0.0856,0.1965,6.1209,1.6121,0.6045,37.5,0.09,0.25,0.5063,0.07,1.6,1.6,879.6222,186.801,94.2,93.5,74.3,0.0907,0.0403,0.9572,5.7431,1.2343,0.0756,6.272,65.0378,1.2343,0.2519,0.2015,0.2771,0.5542,0.6801,0.1008,0,0.0504,0,60.1763,0.1008,0.7053,2.8463,0.0715,2.1159,0.0252,0.2771,0.1511,0.1511,0.1259,0.3275,0.0083,0.2771,0,0.0252,0.0252,0,0,1.864,1.0327,0.529,0.7305,0.6045,0.9572,1.9899,48.1,1.0327,0.9572,0.0504,0.9068,0.806,2.67,0.7809,0.0252,77.6826,1.1839,9.471,42.7456,26.1209,2.4433,77.6826,2.8967,59.1,1.0327,35.7,53.728,269.5718,117.5819,2.6952,2.0907,0.5793,1.7632,2.3678,61.6121,0.1259,0.0252,0,1.2343,0,0,0,5.6927,0.7305,0.932,Creator
Jorginho,1,0.1022,0.0752,0.1774,0.0271,0.0752,0.0872,0.0658,0.0084,0.0457,0.0541,0.4811,0.2706,0.1684,21.1,0.03,0.16,0.0845,0.04,1.1,0.2,575.7607,174.4889,93,89.4,69.9,0.0484,0.0295,0.5021,4.7234,0.6073,0.018,4.4408,41.8701,0.8749,0.8539,0.2646,0.1503,0.1744,0.021,0,0,0,0,37.9074,0.1293,0.3428,1.3109,0.0079,1.2177,0.021,0.003,0.015,0.021,0.0331,0.1263,0.0008,0.1112,0.003,0,0.003,0.003,0.006,1.1906,0.8268,0.439,0.6103,0.1413,0.5652,1.4913,37.9,0.926,0.6043,0.0902,0.5141,1.0283,2.0505,0.4089,0.0301,47.3512,1.2327,9.3836,30.1774,8.0277,0.1984,47.279,0.4059,60.7,0.1443,35.6,27.4143,109.3416,56.1816,0.466,0.7577,0.015,0.436,0.3848,36.4191,0.2014,0.006,0,0.9651,0,0.006,0,4.083,0.2736,0.442,Pivot
Diogo Jota,1,0.4418,0.1276,0.5695,0.4369,0.0049,0.0049,0.2568,0.2568,0.0889,0.3456,4.2857,2.1551,1.1684,46.7,0.17,0.37,0.0653,0.17,-1.3,-1.3,177.4178,38.866,82.7,76.6,60.9,0.0628,0.0388,0.6726,0.9622,0.432,0.054,1.5366,16.6372,0.4369,0,0.108,0.0785,0.8738,0.0344,0,0,0,0,12.7197,0.0933,0.5989,1.89,0.0172,1.1733,0.0049,0.2258,0.216,0.2553,0.0147,0.216,0.002,0.1227,0,0.0295,0.0344,0.0295,0,0.6873,0.4958,0.2651,0.2946,0.1276,0.2602,1.0751,24.2,0.8149,0.3584,0.0196,0.3387,0.2896,0.8787,0.2209,0.0098,24.4624,0.3387,2.2288,10.648,12.0766,3.2941,24.4624,2.0864,46.1,1.0997,52.7,15.0712,107.3098,58.9445,2.1993,1.5955,0.8984,1.5415,0.918,18.5518,0.216,0.0098,0.0049,1.6937,0.0245,0,0,2.4546,0.6627,1.4138,Inverted Winger
Mads Juel Andersen,1,0.0439,0.0439,0.0877,0.0439,0,0,0.0285,0.0285,0.0269,0.0554,0.0932,0.4057,0.0987,24.3,0.07,0.28,0.0581,0.1,-2.2,-2.2,341.2171,170.2796,73,72.9,35.5,0.0241,0.017,0.1316,1.5406,0.0822,0,2.1875,26.6831,0.9978,0.6689,0,0.2961,0.0713,0.3015,0.0055,0.0055,0,0,17.5164,0.0822,0.2083,0.3344,0.0029,0.2796,0.011,0,0.0384,0.0055,0,0.0439,0.0004,0.0384,0,0,0.0055,0,0,0.8169,0.7018,0.5811,0.2248,0.011,0.3947,0.6689,59,0.2741,0.5976,0.3015,0.2961,2.0066,2.352,3.3333,0.0384,35.6031,4.5888,19.3421,14.9616,1.5406,0.7511,35.6031,0.1974,77.8,0.0439,22.2,13.3004,77.182,44.5724,0.1645,0.1316,0.0219,0.3893,0.0493,13.1908,0.2357,0.0219,0.011,1.25,0,0.0055,0,3.9638,3.4978,1.8586,Sweeper
Hamed Junior Traore,1,0.1839,0.1021,0.286,0.1839,0,0,0.2043,0.2043,0.1502,0.3544,5.2911,2.0531,0.8069,39.3,0.09,0.23,0.1951,0.1,-2,-2,475.9755,139.2237,87.1,80,48.8,0.1236,-0.048,1.6139,2.9418,1.2666,0.1226,4.7906,36.9152,3.1052,0.5516,0.2043,0.4494,3.0337,0.429,2.0429,1.0521,0.572,0.0204,30.5107,0.2656,1.1747,3.5751,0.0381,2.3596,0.5107,0.3575,0.1634,0.0919,0.0919,0.3371,0.0036,0.2554,0.0306,0.0204,0.0102,0.0102,0.0102,1.9203,1.0725,0.6537,0.8784,0.3882,0.7763,2.288,33.9,1.5117,1.1849,0.1021,1.0827,0.7661,2.6864,0.4086,0.0204,52.1246,0.7661,7.1808,23.8815,22.0838,3.0031,52.1246,3.5546,59.2,1.4198,39.9,32.0123,210.4086,112.7171,3.3095,2.4311,0.9193,2.1757,1.8386,36.476,0.1839,0,0,1.3585,0.0102,0,0,5.1788,0.429,0.8887,Creator
Mathias Jorgensen,1,0.0651,0.0163,0.0813,0.0651,0,0,0.0143,0.0143,0.0075,0.0215,0.0553,0.1464,0.2245,53.3,0.16,0.29,0.0387,0.16,-0.4,-0.4,184.0403,77.121,87.4,84.6,52.6,0.0068,0.0088,0.0813,0.7222,0.0293,0.0098,0.8979,11.6038,0.8491,0.3871,0.0098,0.0358,0.0586,0.4489,0,0,0,0,9.8699,0.0358,0.1139,0.2017,0.0024,0.1529,0.0293,0,0.0033,0.0033,0.013,0.0228,0.0003,0.0195,0.0033,0,0,0,0,0.4392,0.3416,0.2668,0.1561,0.0163,0.2082,0.4099,50.8,0.2017,0.3611,0.1659,0.1952,0.7905,1.0377,1.3565,0.0195,15.5172,1.5582,7.5374,7.3292,0.7319,0.2245,15.5172,0.0293,66.7,0.0098,33.3,6.9844,31.9096,19.8926,0.1561,0.0943,0.0065,0.0748,0.0325,8.11,0.1984,0.0098,0,0.6246,0,0.0065,0.0065,1.3761,0.5335,0.566,Aggressor
Issa Kaboré,1,0.0148,0.089,0.1039,0.0148,0,0,0.0252,0.0252,0.1187,0.1439,6.4243,0.4154,0.1039,25,0.04,0.14,0.2582,0.06,-0.7,-0.7,522.9525,205.1632,84.5,73.7,51.8,0.1098,-0.0297,1.0831,1.9288,1.2463,0.8605,3.2196,34.9407,9.0801,0.3412,0.0148,0.1039,4.4955,8.7092,0.0148,0.0148,0,0,32.0475,0.1187,1.8101,2.3887,0.0355,1.7804,0.089,0.2671,0.0445,0.1484,0.0593,0.1632,0.0024,0.1484,0,0,0.0148,0,0,2.3294,1.454,1.2463,0.7418,0.3412,1.1276,1.9881,56.7,0.8605,0.9941,0.1632,0.8309,1.0682,3.3976,1.9733,0.0593,56.3353,2.5371,15.178,22.3887,19.5549,1.7507,56.3353,3.0415,47.3,1.454,47.8,31.0237,221.543,113.2641,3.5608,2.1958,0.7715,2.2552,1.1276,31.632,0.2967,0.0445,0.0297,1.6617,0.0148,0.0148,0,5.3858,0.5193,0.8309,Wide Winger
Sasa Kalajdzic,1,0.5625,0.2344,0.7969,0.5469,0.0156,0.0312,0.3125,0.2875,0.1266,0.4141,4.375,2.9375,1.2344,42,0.19,0.44,0.2109,0.15,5,5.6,174.0625,32.6719,74,67.1,60.9,0.0797,0.1078,0.9219,0.8281,0.2969,0.0156,1.2969,17.3594,1.5938,0.0312,0.0938,0.1094,0.1406,0.0625,0,0,0,0,12.7656,0.0312,0.5938,1.6406,0.0372,1.2812,0,0.0312,0.1562,0.1719,0,0.25,0.0056,0.1719,0,0.0156,0.0312,0.0312,0,0.5469,0.7812,0.1406,0.2031,0.2031,0.1094,0.5156,21.2,0.4062,0.2969,0.0156,0.2812,0.4531,0.75,0.6875,0,26.6406,0.7188,1.7812,13.6094,11.3906,3.4688,26.6094,0.8125,51.9,0.3906,48.1,12.7656,46.75,15.25,0.5312,0.3594,0.2656,2.1562,0.8594,20.75,0.125,0.0156,0.0156,1.375,0.0469,0,0,1.75,2.8594,2.0625,Complete Forward
Boubacar Kamara,1,0.0197,0.0394,0.0591,0.0197,0,0,0.0269,0.0269,0.0473,0.0742,0.7879,0.5056,0.1313,26,0.04,0.15,0.1399,0.05,-1.1,-1.1,867.9251,284.025,92.8,91.2,66.1,0.042,-0.0079,0.5844,4.4517,0.4268,0.0131,4.8785,57.6428,2.587,2.0355,0.1445,0.5515,0.1313,0.5384,0,0,0,0,52.738,0.0788,0.6435,1.4642,0.0096,1.1753,0.0263,0.0328,0.0722,0.1248,0.0328,0.1838,0.0012,0.1379,0,0.0131,0.0066,0.0263,0,2.587,1.4576,1.1884,1.1819,0.2167,1.1687,2.1733,53.8,1.0046,1.1556,0.4596,0.696,1.2935,3.8805,1.9435,0.0394,70.4071,3.4668,22.2784,41.7663,7.019,0.7288,70.4071,1.1884,57.5,0.4334,36.5,44.4583,197.9908,102.1536,0.8536,0.8339,0.0788,0.8601,0.545,48.6343,0.2298,0.0066,0,1.3395,0.0066,0.0197,0,6.1589,1.7006,1.3789,Pivot
Michael Keane,1,0.0724,0.0362,0.1087,0.0724,0,0,0.031,0.031,0.0198,0.0507,0.0626,0.4445,0.2074,28.9,0.09,0.35,0.0375,0.08,0.6,0.6,426.5953,165.2618,85.2,89.3,58,0.0105,0.0165,0.1218,1.462,0.079,0.0033,1.5608,25.4495,0.6355,0.5334,0.0099,0.2009,0.0691,0.0626,0,0,0,0,21.1228,0.0757,0.2371,0.3688,0.0022,0.3128,0.0033,0,0.0395,0.0066,0.0066,0.0296,0.0002,0.0263,0,0,0.0033,0,0,0.6256,0.461,0.4149,0.1844,0.0263,0.326,0.6092,53.5,0.2832,0.6487,0.4873,0.1613,1.1096,1.5179,2.97,0.0263,32.3806,4.7382,17.1683,14.162,1.1986,0.6651,32.3806,0.1218,78.4,0.023,18.9,16.7073,85.1037,47.8597,0.191,0.1087,0.0099,0.1745,0.0691,18.9793,0.0922,0.0033,0.0033,0.54,0,0.0165,0.0099,2.5486,2.3971,1.4587,Sweeper
